date,region_id,region_name,ntl_sum,area_km2,light_density,density_3m_smooth,lag_1,lag_3,lag_12,lag_1_safe,lag_12_safe,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,months_seen,mom_pct_z,yoy_pct_z,mom_3m_avg_z,trend_score
2025-12-01,CHI,Chicago,1995234.476392791,11068.470347955108,180.2628921313783,147.79732093107688,129.37595883711472,126.7576269879607,136.2319297852488,129.37595883711472,136.2319297852488,0.1423862845890463,0.08489486395780597,0.05431898857308073,0.04799006427070493,0.0864587723389818,48,2.4312914579562466,0.568946806562055,1.1985246945067085,1.2535657795692432
2026-01-01,CHI,Chicago,1987102.394533448,11068.470347955108,179.5281852022636,164.29831855762458,147.79732093107688,127.49079643634373,160.71174990112982,147.79732093107688,160.71174990112982,0.11164612134101334,0.02231677931888133,0.08960635358633355,0.04023212143207906,0.07591374203081257,49,1.8977858315017948,-0.1478985726360525,1.9826080333831653,0.8919080698091453
2022-01-01,CLT,Charlotte,437898.268861115,5245.678366658043,83.47791043469837,83.47791043469837,,,,,,,,,,,1,,,,0.0
2022-02-01,CLT,Charlotte,332964.89855885506,5245.678366658043,63.47413533304042,73.4760228838694,83.47791043469837,,,83.47791043469837,,-0.11981478092522534,,-0.11981478092522534,,,2,-2.119294125650485,,-2.6707182299252152,-1.1699318836801886
2022-03-01,CLT,Charlotte,376658.9989244342,5245.678366658043,71.80367773184672,72.91857449986183,73.4760228838694,,,73.4760228838694,,-0.0075868067177320125,,-0.06370079382147867,,,3,-0.1715407841286537,,-1.423868476495005,-0.3362359305375971
2022-04-01,CLT,Charlotte,338428.0532826781,5245.678366658043,64.51559352814199,66.59780219767639,72.91857449986183,83.47791043469837,,72.91857449986183,,-0.08668260927395698,,-0.07136139897230477,,,4,-1.544274407961203,,-1.5940867079276448,-0.7820996639738899
2022-05-01,CLT,Charlotte,322618.94303429127,5245.678366658043,61.50185361818662,65.94037495939178,66.59780219767639,73.4760228838694,,66.59780219767639,,-0.009871605617453087,,-0.03471367386971402,,,5,-0.21119421922861645,,-0.7797762415645719,-0.21931351408149935
2022-06-01,CLT,Charlotte,322049.4819496274,5245.678366658043,61.39329547854096,62.470247541623195,65.94037495939178,72.91857449986183,,65.94037495939178,,-0.052625230291844675,,-0.04972648172775158,,,6,-0.9531974132607545,,-1.1133600188406554,-0.5086312277463574
2022-07-01,CLT,Charlotte,316430.6595016718,5245.678366658043,60.32216186050039,61.072436985742655,62.470247541623195,66.59780219767639,,62.470247541623195,,-0.022375620569603072,,-0.028290818826300277,,0.04560416911470615,7,-0.42820550431570786,,-0.6370607504626449,-0.25587380138724136
2022-08-01,CLT,Charlotte,300629.5534989238,5245.678366658043,57.3099478248132,59.67513505461818,61.072436985742655,65.94037495939178,,61.072436985742655,,-0.022879419916560294,,-0.032626756926002684,,0.042858474937117155,8,-0.43694910740060544,,-0.7334050601355112,-0.27776574424728384
2022-09-01,CLT,Charlotte,296750.9663411379,5245.678366658043,56.57056067854085,58.06755678795148,59.67513505461818,62.470247541623195,,59.67513505461818,,-0.026938829132022068,,-0.024064623206061814,,0.040246073047689505,9,-0.5074014872092419,,-0.5431549127380907,-0.26085142871039074
