date,region_id,region_name,ntl_sum,area_km2,light_density
2025-05-01,DFW,Dallas-Fort Worth,1645376.8256718516,14534.097733766232,113.20804743518701
2025-06-01,DFW,Dallas-Fort Worth,1768694.8914930224,14534.097733766232,121.69278918387315
2025-07-01,DFW,Dallas-Fort Worth,1763954.0451177359,14534.097733766232,121.3666013143453
2025-08-01,DFW,Dallas-Fort Worth,1760429.4788694382,14534.097733766232,121.12409804287567
2025-09-01,DFW,Dallas-Fort Worth,1745515.674783945,14534.097733766232,120.09797283313219
2025-10-01,DFW,Dallas-Fort Worth,1746133.7519572377,14534.097733766232,120.14049884228767
2025-11-01,DFW,Dallas-Fort Worth,1799399.4758975506,14534.097733766232,123.80537883112686
2025-12-01,DFW,Dallas-Fort Worth,1886817.1862353086,14534.097733766232,129.82004255082
2026-01-01,DFW,Dallas-Fort Worth,1984692.2320085168,14534.097733766232,136.5542098562882
2022-01-01,HOU,Houston,1412181.0838701725,12866.28512408143,109.75826124255839
2022-02-01,HOU,Houston,1537801.8804711998,12866.28512408143,119.5218251143015
2022-03-01,HOU,Houston,1423748.990453899,12866.28512408143,110.65734800087024
2022-04-01,HOU,Houston,1428880.0161441565,12866.28512408143,111.0561442066728
2022-05-01,HOU,Houston,1477847.108961165,12866.28512408143,114.86198966593115
2022-06-01,HOU,Houston,1604884.7015453577,12866.28512408143,124.7356704804827
2022-07-01,HOU,Houston,1500200.2994995117,12866.28512408143,116.59933578586976
2022-08-01,HOU,Houston,1458534.9994777143,12866.28512408143,113.36100400478605
2022-09-01,HOU,Houston,1443385.5705019236,12866.28512408143,112.1835523293653
2022-10-01,HOU,Houston,1496557.6285589933,12866.28512408143,116.31621824996964
2022-11-01,HOU,Houston,1389130.6254022121,12866.28512408143,107.96672170759057
2022-12-01,HOU,Houston,1635750.1105579734,12866.28512408143,127.13460760296616
2023-01-01,HOU,Houston,1553247.7677610517,12866.28512408143,120.72231827459548
2023-02-01,HOU,Houston,1565299.7533989549,12866.28512408143,121.65902887300635
2023-03-01,HOU,Houston,1765389.2118125558,12866.28512408143,137.2104842063799
2023-04-01,HOU,Houston,1496889.475698173,12866.28512408143,116.34201024322793
2023-05-01,HOU,Houston,1503878.8758499026,12866.28512408143,116.8852439804197
2023-06-01,HOU,Houston,1539095.6102044582,12866.28512408143,119.62237703902429
2023-07-01,HOU,Houston,1557081.3459324837,12866.28512408143,121.02027360004189
2023-08-01,HOU,Houston,1585004.805322647,12866.28512408143,123.1905550076799
2023-09-01,HOU,Houston,1584448.5295749307,12866.28512408143,123.14731985920062
2023-10-01,HOU,Houston,1543300.6930894852,12866.28512408143,119.94920664403253
2023-11-01,HOU,Houston,1610836.4801137447,12866.28512408143,125.19825766170777
2023-12-01,HOU,Houston,1658212.3980367184,12866.28512408143,128.88043301116443
2024-01-01,HOU,Houston,1512584.1461181343,12866.28512408143,117.56183945333817
2024-02-01,HOU,Houston,1663878.1511931047,12866.28512408143,129.3207895788719
2024-03-01,HOU,Houston,1566932.7831639946,12866.28512408143,121.78595204852212
2024-04-01,HOU,Houston,1553228.2784247696,12866.28512408143,120.72080351442236
2024-05-01,HOU,Houston,1467686.0414184332,12866.28512408143,114.07224597187033
2024-06-01,HOU,Houston,1595349.665489614,12866.28512408143,123.99458352618403
2024-07-01,HOU,Houston,1301010.777856052,12866.28512408143,101.11782579891612
2024-08-01,HOU,Houston,1586924.7735913396,12866.28512408143,123.33977976449016
2024-09-01,HOU,Houston,1502003.8282517493,12866.28512408143,116.73951057096464
2024-10-01,HOU,Houston,1667424.7897736132,12866.28512408143,129.59644323851842
2024-11-01,HOU,Houston,1754984.6707276106,12866.28512408143,136.40181713701182
