date,dataset_name,region_id,region_name,ntl_sum,area_km2,light_density,density_3m_smooth,lag_1,lag_3,lag_12,lag_1_safe,lag_12_safe,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,months_seen,mom_pct_z,yoy_pct_z,mom_3m_avg_z,trend_score
2024-12-01,metros,SAT,San Antonio,472124.11770385504,7742.335840342831,60.97954511915739,57.753774215990894,55.83486721179506,53.95580108999505,53.139627780362275,55.83486721179506,53.139627780362275,0.03436753949672634,0.08683061263996612,0.0229852684118753,0.08773650651541272,0.027956703670364926,36,0.5228264301190318,0.5949632419030144,0.48923803894443385,0.5521771577761035
2025-01-01,metros,SAT,San Antonio,462296.5174791217,7742.335840342831,59.71021239743214,59.31590268737738,57.753774215990894,55.31145599991984,54.13336688192305,57.753774215990894,54.13336688192305,0.02704807594988249,0.0957364395375332,0.023626198542329686,0.09091729727178231,0.02836648732044216,37,0.4009690131559612,0.6986829123682156,0.50347237551073,0.5703266352330422
2025-02-01,metros,SAT,San Antonio,441340.12356477976,7742.335840342831,57.00348482238368,59.23108077965774,59.31590268737738,55.83486721179506,54.891206225118424,59.31590268737738,54.891206225118424,-0.001430002813355037,0.07906320252356508,0.0199952042110846,0.0872100849003548,0.028420207051592636,38,-0.0731456669636468,0.5045018813906884,0.4228320795948334,0.3148736565252168
2025-03-01,metros,SAT,San Antonio,467873.71761983633,7742.335840342831,60.43056349763289,59.048086905816234,59.23108077965774,57.753774215990894,53.240418009832666,59.23108077965774,53.240418009832666,-0.003089490710497908,0.10908383354373707,0.007509527475343183,0.0946278252016118,0.026226378131376665,39,-0.1007734988850867,0.8541302755177121,0.14553925707060755,0.4259409395074516
2025-04-01,metros,SAT,San Antonio,462306.7489205599,7742.335840342831,59.71153389027993,59.04852740343216,59.048086905816234,59.31590268737738,53.04347899363055,59.048086905816234,53.04347899363055,7.459981161270639e-06,0.1132099274733223,-0.0015040111808972227,0.10045232118020815,0.0260849495530676,40,-0.049214199582296746,0.9021838821740417,-0.05464128803075513,0.42539942360618077
2025-05-01,metros,SAT,San Antonio,455355.4904963672,7742.335840342831,58.81370943942469,59.651935609112506,59.04852740343216,59.23108077965774,51.301166318706585,59.04852740343216,51.301166318706585,0.010218852733747816,0.1627793262735408,0.002378940668137062,0.1283576957635334,0.022473693267195834,41,0.12078923529540996,1.4794825168602062,0.03159470067317967,0.782296969153362
2025-06-01,metros,SAT,San Antonio,457712.5246399641,7742.335840342831,59.11814393983929,59.21446242318131,59.651935609112506,59.048086905816234,49.98335659481385,59.651935609112506,49.98335659481385,-0.007333763464070518,0.1846835918443552,0.0009641830836128589,0.15355761519707278,0.020110945481287043,42,-0.1714338842162101,1.7345855222204118,0.00017452761381551147,0.815897501368106
2025-07-01,metros,SAT,San Antonio,452070.91951686144,7742.335840342831,58.38947429292136,58.77377589072845,59.21446242318131,59.04852740343216,49.4436797169507,59.21446242318131,49.4436797169507,-0.007442211149422476,0.188701492833656,-0.0015190406265817235,0.178721470317184,0.01974879924208272,43,-0.173239365550742,1.7813790846111124,-0.05497507509757064,0.8277227176208194
2025-08-01,metros,SAT,San Antonio,453803.9590522051,7742.335840342831,58.61331365756288,58.70697729677451,58.77377589072845,59.651935609112506,51.85324101467796,58.77377589072845,51.85324101467796,-0.0011365373917464792,0.13217565860842678,-0.005304170668413155,0.168520247762146,0.016986381966536297,44,-0.06825993483091182,1.1230639201637789,-0.13903855160230272,0.5132462693121553
2025-09-01,metros,SAT,San Antonio,444502.7268534303,7742.335840342831,57.4119666234664,58.13825152465021,58.70697729677451,59.21446242318131,53.95580108999505,58.70697729677451,53.95580108999505,-0.009687532867674145,0.07751623273425376,-0.006088760469614364,0.1327977947254455,0.014988309484479356,45,-0.21062039806578367,0.48648545252760056,-0.1564634077077003,0.14876392530252514
2025-10-01,metros,SAT,San Antonio,458566.4813703895,7742.335840342831,59.228440980426925,58.41790708715207,58.13825152465021,58.77377589072845,55.31145599991984,58.13825152465021,55.31145599991984,0.004810181853908806,0.056162887616567625,-0.002004629468503937,0.08861825965308272,0.013771871415111688,46,0.030743474646084977,0.237798615874493,-0.06575945654622946,0.11497045902182611
2025-11-01,metros,SAT,San Antonio,462590.2532070875,7742.335840342831,59.74815130037087,58.79618630142139,58.41790708715207,58.70697729677451,55.83486721179506,58.41790708715207,55.83486721179506,0.006475398266236797,0.053037093800068366,0.0005326824174904885,0.06223873805029658,0.013703782314415606,47,0.058466677226730275,0.20139477507246326,-0.009408616348869388,0.11635566743447684
2025-12-01,metros,SAT,San Antonio,482010.1074759364,7742.335840342831,62.25641943408554,60.41100390496111,58.79618630142139,58.13825152465021,57.753774215990894,58.79618630142139,57.753774215990894,0.027464665739734922,0.04600962837567218,0.012916748619960177,0.05173653659743605,0.012415876539934206,48,0.4079045700310952,0.11955101071375038,0.2656275506359371,0.23527238649339116
2026-01-01,metros,SAT,San Antonio,470073.1050338745,7742.335840342831,60.7146363484356,60.906402360964,60.41100390496111,58.41790708715207,59.31590268737738,60.41100390496111,59.31590268737738,0.008200467199357452,0.02681405157010422,0.014046843735109726,0.04195359124861492,0.010206685248785343,49,0.08718632900557774,-0.10400587216333114,0.2907256907554563,0.032298100771099014
